dia_semana;dia;mes;periodo;hora;genero;comuna;modalidad;label_modalidad;arma_medio;label_arma;movil_agresor;label_agresor;movil_victima;label_victima;edad;conducta;lat;lon
miercoles;4;1;2014;17;femenino;sur;atraco;4;arma blanca;1;motocicleta;7;a pie;1;0;hurto a personas;2.908991;-75.274467
miercoles;4;1;2014;3;femenino;norte;violacion cerraduras;42;sin empleo de arma;15;a pie;1;sin dato;13;0;hurto a residencias;2.920993;-75.268685
miercoles;4;1;2014;8;masculino;entre rios;halado;15;llave maestra;9;a pie;1;motocicleta;7;0;hurto de motos;2.935378;-75.294883
miercoles;4;1;2014;0;masculino;las palmas;atraco;4;arma de fuego;2;a pie;1;a pie;1;0;hurto a personas;2.947179;-75.257497
miercoles;4;1;2014;4;masculino;sur;rompimiento vidrio;29;contundente;4;a pie;1;sin dato;13;0;hurto a personas;2.908991;-75.274467
miercoles;4;1;2014;0;masculino;la floresta;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a personas;2.927763;-75.264617
miercoles;4;1;2014;17;masculino;corregimiento rio las ceibas;atraco;4;arma de fuego;2;motocicleta;7;vehiculo;15;0;hurto a personas;2.885892;-75.155379
miercoles;4;1;2014;16;masculino;nororiental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a personas;2.96045;-75.284146
miercoles;4;1;2014;21;masculino;suroriental;atraco;4;arma blanca;1;vehiculo;16;conductor taxi;5;0;hurto a personas;2.9231;-75.266481
jueves;5;1;2014;23;femenino;suroriental;engano;11;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a personas;2.9231;-75.266481
jueves;5;1;2014;10;femenino;entre rios;engano;11;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a personas;2.935378;-75.294883
jueves;5;1;2014;10;femenino;central;raponazo;25;sin empleo de arma;15;motocicleta;7;a pie;1;0;hurto a personas;2.92796;-75.286621
jueves;5;1;2014;19;femenino;norte;violacion cerraduras;42;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.920993;-75.268685
jueves;5;1;2014;0;femenino;suroriental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.9231;-75.266481
jueves;5;1;2014;0;masculino;entre rios;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a personas;2.935378;-75.294883
jueves;5;1;2014;7;sin dato;sur;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.908991;-75.274467
viernes;6;1;2014;20;femenino;central;raponazo;25;sin empleo de arma;15;motocicleta;7;a pie;1;0;hurto a personas;2.92796;-75.286621
viernes;6;1;2014;9;femenino;nororiental;violacion cerraduras;42;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.96045;-75.284146
viernes;6;1;2014;16;masculino;central;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a personas;2.92796;-75.286621
viernes;6;1;2014;6;masculino;la floresta;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.927763;-75.264617
viernes;6;1;2014;18;sin dato;central;mechero;19;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.92796;-75.286621
viernes;6;1;2014;19;sin dato;central;factor de oportunidad;13;sin empleo de arma;15;a pie;1;sin dato;13;0;hurto a comercio;2.92796;-75.286621
sabado;7;1;2014;8;femenino;oriental;halado;15;llave maestra;9;a pie;1;motocicleta;7;0;hurto de motos;2.940498;-75.26865
sabado;7;1;2014;11;femenino;oriental;atraco;4;arma blanca;1;motocicleta;7;a pie;1;0;hurto a personas;2.940498;-75.26865
sabado;7;1;2014;7;femenino;oriental;atraco;4;arma de fuego;2;motocicleta;7;a pie;1;0;hurto a personas;2.940498;-75.26865
sabado;7;1;2014;19;masculino;central;halado;15;llave maestra;9;a pie;1;motocicleta;7;0;hurto de motos;2.92796;-75.286621
sabado;7;1;2014;23;masculino;nororiental;halado;15;llave maestra;9;a pie;1;motocicleta;7;0;hurto de motos;2.96045;-75.284146
sabado;7;1;2014;15;masculino;noroccidental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a personas;2.95476;-75.297625
sabado;7;1;2014;11;masculino;las palmas;atraco;4;arma de fuego;2;motocicleta;7;motocicleta;7;0;hurto a personas;2.947179;-75.257497
domingo;1;1;2014;19;masculino;central;raponazo;25;sin empleo de arma;15;motocicleta;7;a pie;1;0;hurto a personas;2.92796;-75.286621
domingo;1;1;2014;11;masculino;noroccidental;llave maestra;18;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.95476;-75.297625
